Ti,Te,Rdif,Rdir,precip,ws,wd
21.450000000000003,-5.5,0.0,0.0,0.0,1.5,220.0
21.75,-5.4,0.0,0.0,0.0,2.1,220.0
21.95,-7.2,0.0,0.0,0.0,0.0,0.0
22.05,-7.0,0.0,0.0,0.0,1.0,230.0
22.05,-10.5,0.0,0.0,0.0,0.0,0.0
21.8,-11.6,0.0,0.0,0.0,1.0,210.0
21.5,-13.1,0.0,0.0,0.0,0.0,0.0
21.35,-12.4,0.0,0.0,0.0,0.0,0.0
21.25,-13.6,0.0,0.0,0.0,0.0,0.0
21.15,-11.6,0.0,0.0,0.0,0.0,0.0
21.1,-10.0,0.0,0.0,0.0,1.0,240.0
21.1,-3.8,0.0,0.0,0.0,2.1,280.0
21.200000000000003,-5.2,0.0,0.0,0.0,0.0,0.0
21.35,-7.1,0.0,0.0,0.0,0.0,0.0
21.4,-7.6,0.0,1.0,0.0,0.0,0.0
21.4,-6.9,17.0,0.0,0.0,0.0,0.0
21.4,-8.7,37.0,1.0,0.0,1.0,240.0
21.45,-4.9,44.0,1.0,0.0,1.0,210.0
21.55,-3.7,37.0,1.0,0.0,2.6,200.0
21.6,-3.5,24.0,0.0,0.0,3.1,210.0
21.6,-3.4,4.0,1.0,0.0,2.6,200.0
21.700000000000003,-3.6,0.0,0.0,0.0,2.1,200.0
21.65,-4.0,0.0,0.0,0.0,2.1,200.0
21.65,-4.6,0.0,0.0,0.0,1.5,180.0
21.85,-4.7,0.0,0.0,0.0,1.0,120.0
21.9,-5.3,0.0,0.0,0.0,3.1,130.0
21.9,-5.7,0.0,0.0,0.0,2.1,120.0
21.95,-5.8,0.0,0.0,0.0,2.1,90.0
22.0,-5.6,0.0,0.0,0.0,1.5,80.0
21.85,-5.3,0.0,0.0,0.0,2.6,100.0
21.6,-5.1,0.0,0.0,0.0,2.6,100.0
21.45,-4.8,0.0,0.0,0.0,3.1,110.0
21.35,-6.4,2.0,0.0,0.0,3.1,110.0
21.3,-7.9,0.0,0.0,0.0,3.1,110.0
21.200000000000003,-8.3,0.0,0.0,0.0,2.6,100.0
21.200000000000003,-8.7,0.0,0.0,0.0,3.6,80.0
21.35,-8.5,0.0,0.0,0.0,3.6,90.0
21.45,-8.4,0.0,0.0,0.0,3.1,100.0
21.45,-8.8,0.0,1.0,0.0,2.6,100.0
21.45,-8.6,14.0,1.0,0.2,2.1,120.0
21.55,-9.1,33.0,1.0,0.0,2.6,150.0
21.700000000000003,-8.8,44.0,1.0,0.0,2.6,140.0
21.75,-8.8,33.0,1.0,0.0,3.1,130.0
21.6,-9.2,22.0,1.0,0.0,3.1,130.0
21.45,-9.1,9.0,1.0,0.0,3.1,130.0
21.4,-9.5,0.0,0.0,0.0,3.6,120.0
21.299999999999997,-9.7,0.0,0.0,0.0,3.1,120.0
